timeLeftInSec,down,yardsToFirstdown,yardsToEndzone,isEmpty,isI_Form,isJumbo,isPistol,isShotgun,isSingleback,isWildcat,defendersInTheBox,numberOfPassRushers,numberRB,numberTE,numberWR,defendersInTheBox,numberOfPassRushers,numberDL,numberLB,numberDB,isTraditional,isRollout,isScramble,yardsGained
272,1,10,43,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,6
139,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,6
121,2,4,69,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,36
114,1,10,33,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,1,6,1,0,0,0
110,2,10,33,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,0,0,1,-7
85,3,17,40,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,1,6,1,0,0,18
78,1,10,22,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,9
55,2,1,13,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,1,0,0,-7
29,3,8,20,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,1,0,0,10
24,1,10,10,0,0,0,1,0,0,0,6,4,1,1,3,6,4,4,1,6,0,0,1,0
16,2,10,10,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,0
11,3,10,10,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,0
1,1,5,5,1,0,0,0,0,0,0,7,4,1,1,3,7,4,4,1,6,1,0,0,0
3564,2,7,72,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,5
3517,3,2,67,0,0,0,0,1,0,0,7,6,1,1,3,7,6,3,3,5,1,0,0,0
3472,2,4,58,0,0,0,0,0,1,0,7,4,1,2,2,7,4,3,4,4,1,0,0,1
3356,1,10,52,0,0,0,0,1,0,0,7,5,1,1,3,7,5,3,4,4,1,0,0,0
3318,3,6,48,0,0,0,0,1,0,0,6,3,1,1,3,6,3,2,3,6,1,0,0,0
3308,1,10,80,0,0,0,0,0,1,0,9,4,2,2,1,9,4,4,3,4,1,0,0,12
3190,2,9,57,0,0,0,0,1,0,0,5,3,0,1,4,5,3,3,3,5,1,0,0,0
3185,3,9,57,1,0,0,0,0,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
3141,1,10,76,0,0,0,0,1,0,0,7,4,2,1,2,7,4,3,4,4,1,0,0,0
3101,3,9,75,0,0,0,0,1,0,0,5,5,1,1,3,5,5,2,3,6,1,0,0,0
3084,1,10,50,0,0,0,0,1,0,0,7,6,1,1,3,7,6,3,3,5,1,0,0,0
3079,2,10,50,0,0,0,0,1,0,0,7,5,1,1,3,7,5,3,3,5,1,0,0,0
3075,3,5,45,1,0,0,0,0,0,0,6,5,0,1,4,6,5,3,3,5,1,0,0,27
3032,1,10,18,1,0,0,0,0,0,0,4,3,0,1,4,4,3,3,3,5,0,0,1,0
2868,2,13,77,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,3
2831,3,10,74,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,3,6,1,0,0,0
2732,3,2,80,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,3,4,0,0,1,37
2700,1,10,43,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,-4
2577,1,10,24,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,13
2533,1,10,11,0,0,0,0,1,0,0,5,2,1,1,3,5,2,3,3,5,1,0,0,3
2491,2,7,8,0,0,0,0,1,0,0,5,3,1,1,3,5,3,4,2,5,1,0,0,0
2442,2,11,76,0,0,0,0,0,1,0,6,4,1,2,2,6,4,2,4,5,1,0,0,33
2403,1,10,43,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,0,0,1,0
2250,1,10,88,0,1,0,0,0,0,0,8,4,2,2,1,8,4,4,3,4,1,0,0,0
2204,2,7,69,0,0,0,0,0,1,0,5,4,1,1,3,5,4,2,4,5,0,0,1,12
2030,2,10,46,0,0,0,0,0,1,0,6,5,1,2,2,6,5,3,4,4,1,0,0,-7
1953,1,10,91,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,11
1926,1,10,80,0,0,0,0,1,0,0,5,3,1,1,3,5,3,3,3,5,1,0,0,15
1861,2,2,45,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,8
1855,1,10,37,1,0,0,0,0,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,0
1851,2,10,37,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
1837,2,16,51,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,3,6,1,0,0,-8
1794,1,10,86,0,0,0,0,0,1,0,6,7,1,2,2,6,7,3,4,4,1,0,0,-10
1499,1,10,74,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,67
1409,2,22,22,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,22
1399,1,10,92,0,0,0,0,0,1,0,7,4,1,2,2,7,4,3,4,4,0,0,1,8
1356,1,10,79,0,0,0,0,0,1,0,7,4,1,2,2,7,4,3,4,4,1,0,0,0
1313,3,12,81,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,0,0,1,-5
1219,1,10,89,1,0,0,0,0,0,0,6,4,1,2,2,6,4,2,4,5,1,0,0,0
1181,3,7,86,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,3,6,1,0,0,39
1130,1,10,47,0,0,0,0,0,0,1,6,4,1,1,3,6,4,2,4,5,1,0,0,0
1122,2,10,47,0,0,0,0,1,0,0,6,3,1,1,3,6,3,2,4,5,1,0,0,0
1120,3,10,47,0,0,0,0,1,0,0,5,5,1,1,3,5,5,2,3,6,1,0,0,0
1026,3,4,80,0,0,0,0,1,0,0,6,6,1,1,3,6,6,3,3,5,1,0,0,6
909,3,4,68,0,0,0,0,1,0,0,7,5,1,1,3,7,5,3,3,5,1,0,0,19
900,1,10,49,0,0,0,0,1,0,0,5,3,0,1,4,5,3,3,3,5,1,0,0,0
818,1,10,38,0,0,0,0,1,0,0,7,2,1,1,3,7,2,4,3,4,1,0,0,0
726,1,10,70,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,6
707,2,4,64,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,0,0,1,-11
690,3,15,75,0,0,0,0,1,0,0,6,3,1,1,3,6,3,2,3,6,1,0,0,4
536,3,13,89,1,0,0,0,0,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,0
522,1,10,47,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
519,2,10,47,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
489,1,10,23,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
483,2,10,23,0,0,0,0,1,0,0,6,5,1,2,2,6,5,3,4,4,1,0,0,0
478,3,10,23,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,3,6,1,0,0,0
469,4,5,18,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,3,6,1,0,0,0
448,1,10,72,0,0,0,0,1,0,0,7,6,1,1,3,7,6,4,2,5,1,0,0,17
408,1,10,55,0,0,0,0,1,0,0,5,6,1,1,3,5,6,4,2,5,1,0,0,-8
328,3,12,39,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,3,6,1,0,0,0
236,3,1,86,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,3,4,1,0,0,3
130,1,10,55,0,0,0,0,1,0,0,5,5,1,1,3,5,5,2,3,6,1,0,0,38
123,1,10,17,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,3,6,1,0,0,17
112,1,10,69,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,0
108,2,10,69,0,0,0,0,1,0,0,5,3,1,1,3,5,3,3,3,5,1,0,0,0
104,3,10,69,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,1,0,0,1
60,3,7,68,0,0,0,0,1,0,0,6,3,1,1,3,6,3,2,3,6,0,0,1,11
38,1,10,57,0,0,0,1,0,0,0,6,3,1,1,3,6,3,2,3,6,1,0,0,9
23,1,10,43,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,3,6,1,0,0,0
3551,2,3,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
3498,2,14,14,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,0
3452,2,6,89,0,1,0,0,0,0,0,6,5,1,2,2,6,5,4,2,5,1,0,0,29
3377,2,3,53,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,21
3298,2,5,27,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,1,0,0,5
3215,2,12,24,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
3210,3,12,24,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,0
3200,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,3
3129,1,10,60,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,2,5,1,0,0,6
3063,3,2,52,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,8
3027,1,10,44,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,3
2991,2,7,41,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,3,4,1,0,0,13
2869,1,9,9,0,0,0,0,1,0,0,6,5,1,2,2,6,5,4,3,4,1,0,0,0
2864,2,9,9,0,0,0,0,1,0,0,6,4,1,3,1,6,4,4,3,4,1,0,0,8
2783,1,10,75,0,1,0,0,0,0,0,7,4,1,2,2,7,4,4,3,4,0,0,1,8
2758,2,2,67,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,0,1,0,9
2704,1,10,58,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,7
2644,1,20,57,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
2639,2,20,57,0,0,0,0,0,1,0,6,4,1,2,2,6,4,4,3,4,1,0,0,12
2611,3,8,45,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,13
2529,2,4,26,1,0,0,0,0,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,26
2493,1,20,85,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,5
2450,2,15,80,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,11
2328,3,5,73,0,0,0,0,1,0,0,6,5,1,2,2,6,5,4,2,5,1,0,0,13
2225,2,12,62,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,17
2110,3,3,38,0,0,0,0,1,0,0,7,4,1,3,1,7,4,4,3,4,1,0,0,13
2030,2,9,24,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,4
1991,3,5,20,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,2,5,1,0,0,0
1981,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,4
1914,1,3,3,0,0,0,0,0,1,0,8,5,1,2,2,8,5,4,3,4,0,0,1,0
1908,2,3,3,0,0,0,0,0,1,0,7,3,1,1,3,7,3,4,2,5,1,0,0,3
1898,1,10,76,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,5
1880,2,5,71,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,7
1860,1,10,64,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,8
1853,2,2,56,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,1
1819,1,10,36,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,-5
1814,2,15,41,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,8
1800,1,10,75,0,0,0,0,0,1,0,7,4,1,3,1,7,4,4,3,4,0,1,0,0
1756,3,12,77,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,-6
1684,2,16,73,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,2,5,1,0,0,-8
1639,3,24,81,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,1,6,1,0,0,6
1590,1,10,60,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,3,4,1,0,0,8
1557,2,2,52,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,3,4,1,0,0,13
1523,1,10,39,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,3,4,1,0,0,0
1517,2,10,39,0,0,0,0,1,0,0,6,5,1,2,2,6,5,4,3,4,1,0,0,7
1492,3,3,32,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,12
1453,1,10,20,0,0,0,0,1,0,0,6,6,1,2,2,6,6,4,3,4,1,0,0,0
1446,2,10,20,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,6
1418,3,4,14,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,9
1397,1,5,5,0,0,0,0,0,1,0,8,1,1,2,2,8,1,4,3,4,1,0,0,5
1393,1,10,75,0,0,0,0,1,0,0,6,5,2,1,2,6,5,4,3,4,1,0,0,5
1358,2,5,70,0,0,0,0,0,1,0,6,0,1,1,3,6,0,4,2,5,1,0,0,6
1325,1,10,64,0,0,0,0,0,1,0,6,4,1,2,2,6,4,4,3,4,1,0,0,4
1291,2,6,60,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,0,0,1,0
1158,1,10,38,0,0,0,0,0,1,0,6,3,1,2,2,6,3,4,2,5,1,0,0,38
1122,2,4,69,0,0,0,0,1,0,0,7,4,1,2,2,7,4,4,2,5,1,0,0,0
1115,3,4,69,0,0,0,0,1,0,0,6,4,1,0,4,6,4,4,2,5,1,0,0,18
921,3,14,37,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
877,2,9,41,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,-6
803,1,10,24,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,15
667,1,10,75,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,8
607,3,2,67,1,0,0,0,0,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,0
553,2,8,77,0,0,0,0,1,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,18
457,2,17,66,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,9
417,3,8,57,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,0,0,1,17
374,1,10,40,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,5
334,2,5,35,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,14
253,2,10,21,0,0,0,0,0,1,0,7,5,1,2,2,7,5,4,3,4,1,0,0,0
248,3,10,21,0,0,0,0,1,0,0,3,4,1,1,3,3,4,4,1,6,0,0,1,0
237,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
232,2,10,75,1,0,0,0,0,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,0
227,3,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,12
201,1,10,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,4
150,3,2,55,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,7
125,1,10,48,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,4
119,2,6,44,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,8
98,1,10,36,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,8
76,2,2,28,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,3
69,1,10,25,0,0,0,0,1,0,0,6,3,1,1,3,6,3,4,2,5,1,0,0,-5
46,2,15,30,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,0
18,1,10,79,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,9
3568,2,8,63,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,1,0,0,8
3442,3,6,51,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,17
3371,2,5,29,0,0,0,0,0,1,0,7,3,1,1,3,7,3,4,2,5,0,1,0,1
3329,3,4,28,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,0
3262,1,15,73,1,0,0,0,0,0,0,5,3,2,1,2,5,3,3,4,4,1,0,0,7
3199,3,7,65,0,0,0,0,1,0,0,6,4,1,1,3,6,4,1,5,5,1,0,0,3
3158,1,10,80,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,10
3129,1,10,70,0,1,0,0,0,0,0,7,3,1,2,2,7,3,4,3,4,1,0,0,17
3035,2,10,53,0,0,0,0,1,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,5
2908,2,5,36,0,0,0,0,0,1,0,8,3,1,3,1,8,3,4,3,4,0,1,0,31
2819,2,3,3,0,0,0,0,0,1,0,8,4,1,1,3,8,4,4,2,5,0,1,0,0
2815,3,3,3,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,0
2807,4,3,3,1,0,0,0,0,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,1
2781,1,10,87,0,0,0,0,0,1,0,7,2,1,2,2,7,2,3,4,4,1,0,0,4
2752,2,6,83,0,0,0,0,0,1,0,7,4,1,1,3,7,4,2,4,5,1,0,0,0
2747,3,6,83,0,0,0,0,1,0,0,6,4,1,1,3,6,4,1,5,5,1,0,0,6
2703,1,10,77,0,0,0,0,0,1,0,5,4,1,1,3,5,4,2,4,5,1,0,0,4
2700,2,6,73,0,0,0,0,1,0,0,6,2,1,1,3,6,2,2,4,5,1,0,0,7
2486,1,10,10,0,0,0,0,1,0,0,7,4,1,1,3,7,4,2,4,5,1,0,0,10
2439,2,15,80,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,13
2302,3,3,55,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
2236,2,12,87,0,0,0,0,0,1,0,6,4,1,1,3,6,4,2,4,5,1,0,0,13
2055,2,8,45,0,0,0,0,1,0,0,7,6,1,1,3,7,6,2,4,5,1,0,0,21
1941,3,9,23,0,0,0,0,1,0,0,7,5,1,1,3,7,5,1,5,5,1,0,0,8
1920,4,1,15,0,0,0,0,0,1,0,7,3,1,2,2,7,3,3,4,4,0,1,0,0
1914,1,10,85,0,0,0,0,1,0,0,6,3,1,1,3,6,3,4,2,5,1,0,0,0
1770,2,7,72,0,1,0,0,0,0,0,7,4,2,0,3,7,4,2,4,5,1,0,0,4
1731,3,3,68,0,0,0,0,1,0,0,7,4,1,1,3,7,4,1,5,5,1,0,0,0
1634,3,4,45,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
1459,2,6,61,0,0,0,1,0,0,0,8,4,1,2,2,8,4,4,3,4,1,0,0,0
1444,1,10,35,1,0,0,0,0,0,0,5,3,1,1,3,5,3,2,4,5,1,0,0,4
1413,1,10,26,0,0,0,0,1,0,0,6,6,1,1,3,6,6,2,4,5,1,0,0,8
1385,2,2,18,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,0,1,0,11
1317,2,4,4,0,0,0,0,0,1,0,7,4,1,1,3,7,4,2,4,5,1,0,0,0
1307,1,10,67,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
1262,2,6,24,0,0,0,0,0,1,0,7,3,1,1,3,7,3,2,4,5,1,0,0,10
1223,1,10,14,0,0,0,0,0,1,0,9,6,1,2,2,9,6,3,4,4,1,0,0,0
968,2,12,36,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,16
